strain,day,mean_b,genotype,age,intrinsic_growth_rate
ECA347,Day 1,44,divergent,3,1.26139654463942
ECA347,Day 2,115,divergent,4,1.26722605055506
ECA347,Day 3,78,divergent,5,1.09361202822703
ECA347,Day 4,19.25,divergent,6,0.924358921742103
ECA347,Day 5,3.5,divergent,7,0.794245661425619
ECA36,Day 1,42.4,divergent,3,1.2490494540793
ECA36,Day 2,108.8,divergent,4,1.25465086593636
ECA36,Day 3,33.8,divergent,5,1.04407116501566
ECA36,Day 4,5.8,divergent,6,0.875204293169031
ECA36,Day 5,1.6,divergent,7,0.751368076890229
ECA724,Day 1,39.8,divergent,3,1.22795563743013
ECA724,Day 2,109.4,divergent,4,1.25132192194242
ECA724,Day 3,52.6,divergent,5,1.0614554215839
ECA724,Day 4,12.2,divergent,6,0.894329335836975
ECA724,Day 5,6.6,divergent,7,0.7709073009742
ECA740,Day 1,37.4,divergent,3,1.20722356814016
ECA740,Day 2,71,divergent,4,1.17145702225139
ECA740,Day 3,50.6,divergent,5,1.01378084044405
ECA740,Day 4,15.4,divergent,6,0.86022525191248
ECA740,Day 5,9.8,divergent,7,0.745146017688744
ECA741,Day 1,35,divergent,3,1.18511602049647
ECA741,Day 2,75.3333333333333,divergent,4,1.17587652167724
ECA741,Day 3,67.6666666666667,divergent,5,1.03635671005842
ECA741,Day 4,46,divergent,6,0.901941008642507
ECA741,Day 5,29,divergent,7,0.79048421267536
ECA742,Day 1,29,divergent,3,1.12243194332882
ECA742,Day 2,85.3333333333333,divergent,4,1.18477953962446
ECA742,Day 3,58,divergent,5,1.02988611716806
ECA742,Day 4,20.6666666666667,divergent,6,0.877115031484148
ECA742,Day 5,2,divergent,7,0.753285651223392
ECA396,Day 1,0.6,divergent,3,0
ECA396,Day 2,45,divergent,4,0.954976929130085
ECA396,Day 3,67.8,divergent,5,0.94618427825873
ECA396,Day 4,33.6,divergent,6,0.831738764463123
ECA396,Day 5,11.8,divergent,7,0.723949364116148
ECA722,Day 1,0,divergent,3,0
ECA722,Day 2,40,divergent,4,0.922219863528484
ECA722,Day 3,58,divergent,5,0.916993495734114
ECA722,Day 4,23.25,divergent,6,0.799642421636265
ECA722,Day 5,12.25,divergent,7,0.699157353977186
ECA723,Day 1,0.6,divergent,3,0
ECA723,Day 2,59,divergent,4,1.02191389351783
ECA723,Day 3,87.4,divergent,5,0.998086517355747
ECA723,Day 4,41,divergent,6,0.872740327138325
ECA723,Day 5,38.6,divergent,7,0.774740906941987
ECA730,Day 1,0,divergent,3,0
ECA730,Day 2,49.2,divergent,4,0.973973405874566
ECA730,Day 3,79,divergent,5,0.970718308897314
ECA730,Day 4,70.8,divergent,6,0.882217470787415
ECA730,Day 5,41.8,divergent,7,0.783423816204952
JU3226,Day 1,9.75,divergent,3,0.759089095003252
JU3226,Day 2,46.5,divergent,4,1.00745151027113
JU3226,Day 3,64.75,divergent,5,0.959158109119348
JU3226,Day 4,38,divergent,6,0.844817367036705
JU3226,Day 5,31.5,divergent,7,0.749950313509537
XZ1514,Day 1,0,divergent,3,0
XZ1514,Day 2,52.2,divergent,4,0.988770623722148
XZ1514,Day 3,97.8,divergent,5,1.00212705881925
XZ1514,Day 4,49.2,divergent,6,0.882384890858416
XZ1514,Day 5,10.8,divergent,7,0.76387250438821
XZ1516,Day 1,0.6,divergent,3,0
XZ1516,Day 2,62.6,divergent,4,1.0365760752882
XZ1516,Day 3,110,divergent,5,1.03088939922567
XZ1516,Day 4,69.4,divergent,6,0.915235666084992
XZ1516,Day 5,11.8,divergent,7,0.791272547352281
ECA1202,Day 1,21.6,divergent,3,1.02423110489671
ECA1202,Day 2,56.2,divergent,4,1.08853535779609
ECA1202,Day 3,52,divergent,5,0.973198960853998
ECA1202,Day 4,30.8,divergent,6,0.846486133585444
ECA1202,Day 5,30.4,divergent,7,0.750324775435233
ECA1206,Day 1,25.2,divergent,3,1.07561466483913
ECA1206,Day 2,81.8,divergent,4,1.16820720861548
ECA1206,Day 3,77.2,divergent,5,1.04320442476424
ECA1206,Day 4,25.4,divergent,6,0.890866825407814
ECA1206,Day 5,3.6,divergent,7,0.76603295604167
ECA1211,Day 1,23.2,divergent,3,1.04805075955742
ECA1211,Day 2,66,divergent,4,1.12272025989649
ECA1211,Day 3,60.8,divergent,5,1.00212705881925
ECA1211,Day 4,29.8,divergent,6,0.865307520339587
ECA1211,Day 5,17.6,divergent,7,0.755033160999912
ECA1228,Day 1,10.4,divergent,3,0.780601935382442
ECA1228,Day 2,42,divergent,4,0.989726647831749
ECA1228,Day 3,36.8,divergent,5,0.898176207917193
ECA1228,Day 4,28.6,divergent,6,0.794831378536248
ECA1228,Day 5,41.4,divergent,7,0.724308753344326
ECA1269,Day 1,17.6,divergent,3,0.955966300681369
ECA1269,Day 2,69.4,divergent,4,1.11647702966365
ECA1269,Day 3,61.6,divergent,5,1.00025162645673
ECA1269,Day 4,19.4,divergent,6,0.85399399656721
ECA1269,Day 5,16.4,divergent,7,0.74530104444607
ECA1281,Day 1,20.4,divergent,3,1.00517830028339
ECA1281,Day 2,72.8,divergent,4,1.13368693042289
ECA1281,Day 3,73.8,divergent,5,1.02359876248335
ECA1281,Day 4,26,divergent,6,0.877115031484148
ECA1281,Day 5,10.4,divergent,7,0.759310640516351
ECA1287,Day 1,10.6,divergent,3,0.786951333706007
ECA1287,Day 2,56.6,divergent,4,1.05191831188228
ECA1287,Day 3,65.2,divergent,5,0.977165528700582
ECA1287,Day 4,43.8,divergent,6,0.861936618917013
ECA1287,Day 5,19.6,divergent,7,0.753870532870916
N2,Day 1,27.5,swept,3,1.10472866822418
N2,Day 2,94.25,swept,4,1.20049244049067
N2,Day 3,127,swept,5,1.10328967520774
N2,Day 4,50,swept,6,0.94993451720762
N2,Day 5,9,swept,7,0.818469680723509
ECA2686,Day 2,72.8,divergent,4,1.14573114426019
ECA2686,Day 3,74.6,divergent,5,1.02996347164592
ECA2686,Day 4,17.8,divergent,6,0.874679358351882
ECA2686,Day 5,7.6,divergent,7,0.755322345598373
ECA2686,Day 1,25,divergent,3,1.0729586082894
ECA369,Day 1,37.25,divergent,3,1.20588398160852
ECA369,Day 2,75.5,divergent,4,1.1812932445957
ECA369,Day 3,53,divergent,5,1.02209612581319
ECA369,Day 4,32,divergent,6,0.881167267774627
ECA369,Day 5,12.25,divergent,7,0.76387250438821
ECA712,Day 1,15.5,divergent,3,0.9136133413084
ECA712,Day 2,96,divergent,4,1.17850614772504
ECA712,Day 3,82,divergent,5,1.05305550249397
ECA712,Day 4,51.25,divergent,6,0.916706213568437
ECA712,Day 5,37,divergent,7,0.805860021845698
ECA732,Day 1,38,divergent,3,1.2125287199088
ECA732,Day 2,109.8,divergent,4,1.24896500212853
ECA732,Day 3,58.6,divergent,5,1.06596320672148
ECA732,Day 4,23.2,divergent,6,0.906056444074235
ECA732,Day 5,9.6,divergent,7,0.782471431725211
ECA733,Day 1,30.25,divergent,3,1.13649872815895
ECA733,Day 2,102,divergent,4,1.2211735176846
ECA733,Day 3,61,divergent,5,1.05279693749351
ECA733,Day 4,26,divergent,6,0.898368771875382
ECA733,Day 5,22,divergent,7,0.783690534317014
ECA744,Day 1,35.8,divergent,3,1.19264929780222
ECA744,Day 2,106.8,divergent,4,1.24001087699505
ECA744,Day 3,89.2,divergent,5,1.08917498618113
ECA744,Day 4,11.8,divergent,6,0.915921255972624
ECA744,Day 5,5,divergent,7,0.78797788272523
ECA746,Day 1,27.2,divergent,3,1.10107232443398
ECA746,Day 2,87.4,divergent,4,1.18536195107016
ECA746,Day 3,67,divergent,5,1.04036129323344
ECA746,Day 4,14.8,divergent,6,0.880025565986728
ECA746,Day 5,5,divergent,7,0.757898997183495
ED3012,Day 1,34.4,swept,3,1.17935218812645
ED3012,Day 2,93.6,swept,4,1.2130075659799
ED3012,Day 3,81.4,swept,5,1.06884925968729
ED3012,Day 4,20.2,swept,6,0.906056444074235
ED3012,Day 5,18.6,swept,7,0.787747838967215
JU367,Day 1,34,swept,3,1.17545350820539
JU367,Day 2,82.2,swept,4,1.18882821110445
JU367,Day 3,39.2,swept,5,1.00920048758671
JU367,Day 4,14.6,swept,6,0.855966406175044
JU367,Day 5,8.8,swept,7,0.740895408962773
QX1791,Day 1,34.6,divergent,3,1.18128456068789
QX1791,Day 2,97,divergent,4,1.2199417547228
QX1791,Day 3,82,divergent,5,1.07282102141721
QX1791,Day 4,17.8,divergent,6,0.907357969126596
QX1791,Day 5,3.8,divergent,7,0.780062316574925
CB4856,Day 1,41,divergent,3,1.2378573555681
CB4856,Day 2,120.8,divergent,4,1.2715902511561
CB4856,Day 3,61,divergent,5,1.08125490161063
CB4856,Day 4,7,divergent,6,0.906201560902443
CB4856,Day 5,7.2,divergent,7,0.78115144873359
ECA593,Day 1,28.4,divergent,3,1.11546304838905
ECA593,Day 2,94.6,divergent,4,1.2030460888431
ECA593,Day 3,61.6,divergent,5,1.04363826441375
ECA593,Day 4,21.2,divergent,6,0.887817470566658
ECA593,Day 5,6.8,divergent,7,0.76563035227255
ECA706,Day 1,35.2,divergent,3,1.18701536086802
ECA706,Day 2,112.6,divergent,4,1.24896500212853
ECA706,Day 3,56.4,divergent,5,1.06381998114611
ECA706,Day 4,17.8,divergent,6,0.900446230312047
ECA706,Day 5,13,divergent,7,0.77994078773488
ECA760,Day 1,29,divergent,3,1.12243194332882
ECA760,Day 2,113.2,divergent,4,1.23930862934229
ECA760,Day 3,24,divergent,5,1.02263837648427
ECA760,Day 4,4.6,divergent,6,0.856748880225745
ECA760,Day 5,7,divergent,7,0.740094189011401
ECA768,Day 1,11.25,divergent,3,0.80678937621681
ECA768,Day 2,89.25,divergent,4,1.15253943187478
ECA768,Day 3,99.5,divergent,5,1.05966347330961
ECA768,Day 4,15,divergent,6,0.895106338021277
ECA768,Day 5,2.25,divergent,7,0.768721252020786
ECA778,Day 1,29.6,divergent,3,1.12925812044334
ECA778,Day 2,109.4,divergent,4,1.23361848328267
ECA778,Day 3,22.2,divergent,5,1.01652916601451
ECA778,Day 4,5.8,divergent,6,0.852998968736126
ECA778,Day 5,2,divergent,7,0.732842673560439
ECA807,Day 1,27.2,divergent,3,1.10107232443398
ECA807,Day 2,93,divergent,4,1.19728925552528
ECA807,Day 3,43.2,divergent,5,1.01924023648518
ECA807,Day 4,13.2,divergent,6,0.86231454802831
ECA807,Day 5,5.2,divergent,7,0.743272454534768
JU1200,Day 1,32.2,swept,3,1.15732215085012
JU1200,Day 2,107.8,swept,4,1.23541060565233
JU1200,Day 3,74.4,swept,5,1.07356868583933
JU1200,Day 4,22.4,swept,6,0.911202650501642
JU1200,Day 5,17.6,swept,7,0.791272547352281
NIC277,Day 1,27.6,swept,3,1.1059385909077
NIC277,Day 2,99.6,swept,4,1.21144016272651
NIC277,Day 3,97,swept,5,1.08250770212761
NIC277,Day 4,26.8,swept,6,0.920908823188631
NIC277,Day 5,1.8,swept,7,0.790371237467529
XZ2019,Day 1,34.4,divergent,3,1.17935218812645
XZ2019,Day 2,105.6,divergent,4,1.23541060565233
XZ2019,Day 3,55.8,divergent,5,1.05541874601928
XZ2019,Day 4,31.8,divergent,6,0.904598283708696
XZ2019,Day 5,9.6,divergent,7,0.781271952446224
DL238,Day 1,32,divergent,3,1.15524530093324
DL238,Day 2,122,divergent,4,1.25923815060341
DL238,Day 3,56,divergent,5,1.06942150614349
DL238,Day 4,13.6666666666667,divergent,6,0.901692808050595
DL238,Day 5,25,divergent,7,0.788016187362236
ECA703,Day 1,14,divergent,3,0.87968577653842
ECA703,Day 2,66.5,divergent,4,1.09706429610613
ECA703,Day 3,50,divergent,5,0.97427464535255
ECA703,Day 4,10,divergent,6,0.824201248128967
ECA703,Day 5,8.75,divergent,7,0.715088964610387
ECA705,Day 1,30.25,divergent,3,1.13649872815895
ECA705,Day 2,99.5,divergent,4,1.2164023805115
ECA705,Day 3,52.5,divergent,5,1.04107587417775
ECA705,Day 4,9.25,divergent,6,0.875814634770117
ECA705,Day 5,2.5,divergent,7,0.752551165580475
ECA738,Day 1,28.3333333333333,divergent,3,1.11467965594074
ECA738,Day 2,88,divergent,4,1.18911490838358
ECA738,Day 3,80.3333333333333,divergent,5,1.05630204964633
ECA738,Day 4,27,divergent,6,0.901692808050595
ECA738,Day 5,13.6666666666667,divergent,7,0.781352231820552
QX1794,Day 1,32.3333333333333,divergent,3,1.15869956327842
QX1794,Day 2,143.333333333333,divergent,4,1.29214706496831
QX1794,Day 3,37.6666666666667,divergent,5,1.07257117753712
QX1794,Day 4,1,divergent,6,0.894588739261585
QX1794,Day 5,0,divergent,7,0.766790347938501
ECA592,Day 1,48.5,swept,3,1.29385459931448
ECA592,Day 2,110.25,swept,4,1.2668326594432
ECA592,Day 3,40.75,swept,5,1.05916284726598
ECA592,Day 4,13,swept,6,0.893156998060745
ECA592,Day 5,1.75,swept,7,0.766734793925413
ECA743,Day 1,53,divergent,3,1.32343063785071
ECA743,Day 2,135,divergent,4,1.30911049070749
ECA743,Day 3,52.8,divergent,5,1.09679334268693
ECA743,Day 4,16.2,divergent,6,0.924846014149203
ECA743,Day 5,5.4,divergent,7,0.795695722438562
JU2879,Day 1,13,swept,3,0.854983119153846
JU2879,Day 2,49.6,swept,4,1.03419131952651
JU2879,Day 3,43.4,swept,5,0.932687818822413
JU2879,Day 4,24.4,swept,6,0.811767774915425
JU2879,Day 5,4.2,swept,7,0.70032963103009
JU310,Day 1,38.2,swept,3,1.21427850520418
JU310,Day 2,114,swept,4,1.2562988613569
JU310,Day 3,99.8,swept,5,1.10588581750228
JU310,Day 4,27.8,swept,6,0.939012510371897
JU310,Day 5,3.4,swept,7,0.806593337402795
JU394,Day 1,37.6,swept,3,1.20900135013195
JU394,Day 2,121.8,swept,4,1.26785419158903
JU394,Day 3,91,swept,5,1.10461192784519
JU394,Day 4,23.4,swept,6,0.935399652142391
JU394,Day 5,13,swept,7,0.808397872675066
MY16,Day 1,45.2,divergent,3,1.27036569561273
MY16,Day 2,126.4,divergent,4,1.28629154676347
MY16,Day 3,100.4,divergent,5,1.1211604132592
MY16,Day 4,14.4,divergent,6,0.942898239181082
MY16,Day 5,0.8,divergent,7,0.808596976739153
MY23,Day 1,45,divergent,3,1.26888749659011
MY23,Day 2,113,divergent,4,1.26564875825674
MY23,Day 3,63.75,divergent,5,1.08031012423794
MY23,Day 4,31.5,divergent,6,0.922396190521465
MY23,Day 5,11,divergent,7,0.796699374964335
QX1792,Day 1,51.6,swept,3,1.31450722416251
QX1792,Day 2,113.4,swept,4,1.27648636847515
QX1792,Day 3,19.8,swept,5,1.04385483184152
QX1792,Day 4,5.2,swept,6,0.874504012026748
QX1792,Day 5,6.4,swept,7,0.754307627988624
QX1793,Day 1,41.4,divergent,3,1.24109362694376
QX1793,Day 2,136.6,divergent,4,1.29544588757302
QX1793,Day 3,32,divergent,5,1.06942150614349
QX1793,Day 4,3.6,divergent,6,0.894017517847673
QX1793,Day 5,3,divergent,7,0.768293190652413
XZ1515,Day 1,30.4,swept,3,1.13814753613739
XZ1515,Day 2,57,swept,4,1.11762382066537
XZ1515,Day 3,35,swept,5,0.961458874015645
XZ1515,Day 4,10,swept,6,0.814304607250485
XZ1515,Day 5,3,swept,7,0.701176194354025
CX11254,Day 1,9.8,swept,3,0.760794128558842
CX11254,Day 2,45.6,swept,4,1.00364489843831
CX11254,Day 3,28.8,swept,5,0.886638984249656
CX11254,Day 4,14.4,swept,6,0.765178543601432
CX11254,Day 5,7.4,swept,7,0.666205584873152
CX11262,Day 1,54.2,swept,3,1.33089363614853
CX11262,Day 2,129.8,swept,4,1.30373393940225
CX11262,Day 3,73.6,swept,5,1.11028159884604
CX11262,Day 4,19.6,swept,6,0.937456544552625
CX11262,Day 5,5.2,swept,7,0.806189215088441
ECA348,Day 1,46,divergent,3,1.2762137988297
ECA348,Day 2,130.2,divergent,4,1.29290492837552
ECA348,Day 3,49,divergent,5,1.08339777925311
