strain,day,mean_b,genotype
BRC20067,Day 1,54.4,swept
BRC20067,Day 2,138.8,swept
BRC20067,Day 3,93.2,swept
BRC20067,Day 4,12.6,swept
BRC20067,Day 5,0.4,swept
CB4854,Day 1,31,swept
CB4854,Day 2,133.6,swept
CB4854,Day 3,78.4,swept
CB4854,Day 4,6.4,swept
CB4854,Day 5,2,swept
CB4856,Day 1,41,divergent
CB4856,Day 2,120.8,divergent
CB4856,Day 3,61,divergent
CB4856,Day 4,7,divergent
CB4856,Day 5,7.2,divergent
CX11254,Day 1,9.8,swept
CX11254,Day 2,45.6,swept
CX11254,Day 3,28.8,swept
CX11254,Day 4,14.4,swept
CX11254,Day 5,7.4,swept
CX11262,Day 1,54.2,swept
CX11262,Day 2,129.8,swept
CX11262,Day 3,73.6,swept
CX11262,Day 4,19.6,swept
CX11262,Day 5,5.2,swept
CX11264,Day 1,22,swept
CX11264,Day 2,88,swept
CX11264,Day 3,55.25,swept
CX11264,Day 4,26.25,swept
CX11264,Day 5,17.5,swept
CX11292,Day 1,14.8,swept
CX11292,Day 2,111.8,swept
CX11292,Day 3,89.8,swept
CX11292,Day 4,22.4,swept
CX11292,Day 5,0.8,swept
DL226,Day 1,53.6,swept
DL226,Day 2,136.2,swept
DL226,Day 3,76.2,swept
DL226,Day 4,11.6,swept
DL226,Day 5,1.8,swept
DL238,Day 1,32,divergent
DL238,Day 2,122,divergent
DL238,Day 3,56,divergent
DL238,Day 4,13.6666666666667,divergent
DL238,Day 5,25,divergent
ECA1202,Day 1,21.6,divergent
ECA1202,Day 2,56.2,divergent
ECA1202,Day 3,52,divergent
ECA1202,Day 4,30.8,divergent
ECA1202,Day 5,30.4,divergent
ECA1206,Day 1,25.2,divergent
ECA1206,Day 2,81.8,divergent
ECA1206,Day 3,77.2,divergent
ECA1206,Day 4,25.4,divergent
ECA1206,Day 5,3.6,divergent
ECA1211,Day 1,23.2,divergent
ECA1211,Day 2,66,divergent
ECA1211,Day 3,60.8,divergent
ECA1211,Day 4,29.8,divergent
ECA1211,Day 5,17.6,divergent
ECA1228,Day 1,10.4,divergent
ECA1228,Day 2,42,divergent
ECA1228,Day 3,36.8,divergent
ECA1228,Day 4,28.6,divergent
ECA1228,Day 5,41.4,divergent
ECA1269,Day 1,17.6,divergent
ECA1269,Day 2,69.4,divergent
ECA1269,Day 3,61.6,divergent
ECA1269,Day 4,19.4,divergent
ECA1269,Day 5,16.4,divergent
ECA1281,Day 1,20.4,divergent
ECA1281,Day 2,72.8,divergent
ECA1281,Day 3,73.8,divergent
ECA1281,Day 4,26,divergent
ECA1281,Day 5,10.4,divergent
ECA1287,Day 1,10.6,divergent
ECA1287,Day 2,56.6,divergent
ECA1287,Day 3,65.2,divergent
ECA1287,Day 4,43.8,divergent
ECA1287,Day 5,19.6,divergent
ECA189,Day 1,35,divergent
ECA189,Day 2,125.25,divergent
ECA189,Day 3,62.5,divergent
ECA189,Day 4,10.75,divergent
ECA189,Day 5,2.75,divergent
ECA2686,Day 1,25,divergent
ECA2686,Day 2,72.8,divergent
ECA2686,Day 3,74.6,divergent
ECA2686,Day 4,17.8,divergent
ECA2686,Day 5,7.6,divergent
ECA347,Day 1,44,divergent
ECA347,Day 2,115,divergent
ECA347,Day 3,78,divergent
ECA347,Day 4,19.25,divergent
ECA347,Day 5,3.5,divergent
ECA348,Day 1,46,divergent
ECA348,Day 2,130.2,divergent
ECA348,Day 3,49,divergent
ECA348,Day 4,9,divergent
ECA348,Day 5,1.6,divergent
ECA36,Day 1,42.4,divergent
ECA36,Day 2,108.8,divergent
ECA36,Day 3,33.8,divergent
ECA36,Day 4,5.8,divergent
ECA36,Day 5,1.6,divergent
ECA363,Day 1,39.4,divergent
ECA363,Day 2,66.8,divergent
ECA363,Day 3,47.6,divergent
ECA363,Day 4,30,divergent
ECA363,Day 5,12,divergent
ECA369,Day 1,37.25,divergent
ECA369,Day 2,75.5,divergent
ECA369,Day 3,53,divergent
ECA369,Day 4,32,divergent
ECA369,Day 5,12.25,divergent
ECA372,Day 1,28.4,divergent
ECA372,Day 2,127.2,divergent
ECA372,Day 3,80.8,divergent
ECA372,Day 4,8.6,divergent
ECA372,Day 5,1.2,divergent
ECA396,Day 1,0.6,divergent
ECA396,Day 2,45,divergent
ECA396,Day 3,67.8,divergent
ECA396,Day 4,33.6,divergent
ECA396,Day 5,11.8,divergent
ECA592,Day 1,48.5,swept
ECA592,Day 2,110.25,swept
ECA592,Day 3,40.75,swept
ECA592,Day 4,13,swept
ECA592,Day 5,1.75,swept
ECA593,Day 1,28.4,divergent
ECA593,Day 2,94.6,divergent
ECA593,Day 3,61.6,divergent
ECA593,Day 4,21.2,divergent
ECA593,Day 5,6.8,divergent
ECA594,Day 1,39.6,swept
ECA594,Day 2,116.6,swept
ECA594,Day 3,56.4,swept
ECA594,Day 4,13.6,swept
ECA594,Day 5,3.6,swept
ECA703,Day 1,14,divergent
ECA703,Day 2,66.5,divergent
ECA703,Day 3,50,divergent
ECA703,Day 4,10,divergent
ECA703,Day 5,8.75,divergent
ECA705,Day 1,30.25,divergent
ECA705,Day 2,99.5,divergent
ECA705,Day 3,52.5,divergent
ECA705,Day 4,9.25,divergent
ECA705,Day 5,2.5,divergent
ECA706,Day 1,35.2,divergent
ECA706,Day 2,112.6,divergent
ECA706,Day 3,56.4,divergent
ECA706,Day 4,17.8,divergent
ECA706,Day 5,13,divergent
ECA710,Day 1,9.33333333333333,divergent
ECA710,Day 2,68.3333333333333,divergent
ECA710,Day 3,40.3333333333333,divergent
ECA710,Day 4,1.66666666666667,divergent
ECA710,Day 5,1.33333333333333,divergent
ECA712,Day 1,15.5,divergent
ECA712,Day 2,96,divergent
ECA712,Day 3,82,divergent
ECA712,Day 4,51.25,divergent
ECA712,Day 5,37,divergent
ECA722,Day 1,0,divergent
ECA722,Day 2,40,divergent
ECA722,Day 3,58,divergent
ECA722,Day 4,23.25,divergent
ECA722,Day 5,12.25,divergent
ECA723,Day 1,0.6,divergent
ECA723,Day 2,59,divergent
ECA723,Day 3,87.4,divergent
ECA723,Day 4,41,divergent
ECA723,Day 5,38.6,divergent
ECA724,Day 1,39.8,divergent
ECA724,Day 2,109.4,divergent
ECA724,Day 3,52.6,divergent
ECA724,Day 4,12.2,divergent
ECA724,Day 5,6.6,divergent
ECA730,Day 1,0,divergent
ECA730,Day 2,49.2,divergent
ECA730,Day 3,79,divergent
ECA730,Day 4,70.8,divergent
ECA730,Day 5,41.8,divergent
ECA732,Day 1,38,divergent
ECA732,Day 2,109.8,divergent
ECA732,Day 3,58.6,divergent
ECA732,Day 4,23.2,divergent
ECA732,Day 5,9.6,divergent
ECA733,Day 1,30.25,divergent
ECA733,Day 2,102,divergent
ECA733,Day 3,61,divergent
ECA733,Day 4,26,divergent
ECA733,Day 5,22,divergent
ECA738,Day 1,28.3333333333333,divergent
ECA738,Day 2,88,divergent
ECA738,Day 3,80.3333333333333,divergent
ECA738,Day 4,27,divergent
ECA738,Day 5,13.6666666666667,divergent
ECA740,Day 1,37.4,divergent
ECA740,Day 2,71,divergent
ECA740,Day 3,50.6,divergent
ECA740,Day 4,15.4,divergent
ECA740,Day 5,9.8,divergent
ECA741,Day 1,35,divergent
ECA741,Day 2,75.3333333333333,divergent
ECA741,Day 3,67.6666666666667,divergent
ECA741,Day 4,46,divergent
ECA741,Day 5,29,divergent
ECA742,Day 1,29,divergent
ECA742,Day 2,85.3333333333333,divergent
ECA742,Day 3,58,divergent
ECA742,Day 4,20.6666666666667,divergent
ECA742,Day 5,2,divergent
ECA743,Day 1,53,divergent
ECA743,Day 2,135,divergent
ECA743,Day 3,52.8,divergent
ECA743,Day 4,16.2,divergent
ECA743,Day 5,5.4,divergent
ECA744,Day 1,35.8,divergent
ECA744,Day 2,106.8,divergent
ECA744,Day 3,89.2,divergent
ECA744,Day 4,11.8,divergent
ECA744,Day 5,5,divergent
ECA745,Day 1,40.8,divergent
ECA745,Day 2,90.4,divergent
ECA745,Day 3,42,divergent
ECA745,Day 4,14,divergent
ECA745,Day 5,7,divergent
ECA746,Day 1,27.2,divergent
ECA746,Day 2,87.4,divergent
ECA746,Day 3,67,divergent
ECA746,Day 4,14.8,divergent
ECA746,Day 5,5,divergent
ECA760,Day 1,29,divergent
ECA760,Day 2,113.2,divergent
ECA760,Day 3,24,divergent
ECA760,Day 4,4.6,divergent
ECA760,Day 5,7,divergent
ECA768,Day 1,11.25,divergent
ECA768,Day 2,89.25,divergent
ECA768,Day 3,99.5,divergent
ECA768,Day 4,15,divergent
ECA768,Day 5,2.25,divergent
ECA778,Day 1,29.6,divergent
ECA778,Day 2,109.4,divergent
ECA778,Day 3,22.2,divergent
ECA778,Day 4,5.8,divergent
ECA778,Day 5,2,divergent
ECA807,Day 1,27.2,divergent
ECA807,Day 2,93,divergent
ECA807,Day 3,43.2,divergent
ECA807,Day 4,13.2,divergent
ECA807,Day 5,5.2,divergent
ECA812,Day 1,16.3333333333333,divergent
ECA812,Day 2,87.6666666666667,divergent
ECA812,Day 3,79,divergent
ECA812,Day 4,28.3333333333333,divergent
ECA812,Day 5,18.6666666666667,divergent
ECA923,Day 1,24,swept
ECA923,Day 2,100.5,swept
ECA923,Day 3,72.75,swept
ECA923,Day 4,21.5,swept
ECA923,Day 5,8.25,swept
ECA928,Day 1,43.25,swept
ECA928,Day 2,94.5,swept
ECA928,Day 3,53.75,swept
ECA928,Day 4,22.75,swept
ECA928,Day 5,4.25,swept
ED3005,Day 1,39.2,swept
ED3005,Day 2,117.4,swept
ED3005,Day 3,81,swept
ED3005,Day 4,23.6,swept
ED3005,Day 5,8.6,swept
ED3011,Day 1,43,swept
ED3011,Day 2,125.5,swept
ED3011,Day 3,108,swept
ED3011,Day 4,17,swept
ED3011,Day 5,1,swept
ED3012,Day 1,34.4,swept
ED3012,Day 2,93.6,swept
ED3012,Day 3,81.4,swept
ED3012,Day 4,20.2,swept
ED3012,Day 5,18.6,swept
ED3040,Day 1,60,swept
ED3040,Day 2,135.8,swept
ED3040,Day 3,71.4,swept
ED3040,Day 4,17,swept
ED3040,Day 5,7.4,swept
EG4349,Day 1,54.2,swept
EG4349,Day 2,119.4,swept
EG4349,Day 3,89.4,swept
EG4349,Day 4,19.4,swept
EG4349,Day 5,6.4,swept
EG4946,Day 1,31.5,swept
EG4946,Day 2,109.5,swept
EG4946,Day 3,86.5,swept
EG4946,Day 4,37.75,swept
EG4946,Day 5,3,swept
GXW1,Day 1,18,swept
GXW1,Day 2,89,swept
GXW1,Day 3,98.8,swept
GXW1,Day 4,37.4,swept
GXW1,Day 5,3.8,swept
JT11398,Day 1,55.2,swept
JT11398,Day 2,158.8,swept
JT11398,Day 3,65.6,swept
JT11398,Day 4,10,swept
JT11398,Day 5,1.6,swept
JU1088,Day 1,22.25,swept
JU1088,Day 2,116.75,swept
JU1088,Day 3,92.25,swept
JU1088,Day 4,32.5,swept
JU1088,Day 5,0.75,swept
JU1172,Day 1,45.8,swept
JU1172,Day 2,123.6,swept
JU1172,Day 3,70.2,swept
JU1172,Day 4,16.6,swept
JU1172,Day 5,11,swept
JU1200,Day 1,32.2,swept
JU1200,Day 2,107.8,swept
JU1200,Day 3,74.4,swept
JU1200,Day 4,22.4,swept
JU1200,Day 5,17.6,swept
JU1242,Day 1,35,swept
JU1242,Day 2,85.75,swept
JU1242,Day 3,60.25,swept
JU1242,Day 4,14,swept
JU1242,Day 5,11.25,swept
JU1395,Day 1,43.4,swept
JU1395,Day 2,143.8,swept
JU1395,Day 3,85,swept
JU1395,Day 4,12.8,swept
JU1395,Day 5,2.4,swept
JU1491,Day 1,54.8,swept
JU1491,Day 2,161.8,swept
JU1491,Day 3,91.2,swept
JU1491,Day 4,21.6,swept
JU1491,Day 5,6,swept
JU1530,Day 1,31.8,swept
JU1530,Day 2,124.2,swept
JU1530,Day 3,107.4,swept
JU1530,Day 4,39.4,swept
JU1530,Day 5,4.8,swept
JU1568,Day 1,33.6,swept
JU1568,Day 2,115.2,swept
JU1568,Day 3,75.2,swept
JU1568,Day 4,27,swept
JU1568,Day 5,5.8,swept
JU1581,Day 1,40.25,swept
JU1581,Day 2,113,swept
JU1581,Day 3,82.75,swept
JU1581,Day 4,10.75,swept
JU1581,Day 5,4,swept
JU1586,Day 1,9.2,swept
JU1586,Day 2,84.8,swept
JU1586,Day 3,80,swept
JU1586,Day 4,38.8,swept
JU1586,Day 5,5.8,swept
JU1896,Day 1,55.6,swept
JU1896,Day 2,141.4,swept
JU1896,Day 3,21,swept
JU1896,Day 4,0.4,swept
JU1896,Day 5,0.2,swept
JU2007,Day 1,57.4,swept
JU2007,Day 2,148,swept
JU2007,Day 3,89,swept
JU2007,Day 4,7.2,swept
JU2007,Day 5,1.2,swept
JU2464,Day 1,21.6,swept
JU2464,Day 2,118,swept
JU2464,Day 3,63.8,swept
JU2464,Day 4,7.6,swept
JU2464,Day 5,4.6,swept
JU2879,Day 1,13,swept
JU2879,Day 2,49.6,swept
JU2879,Day 3,43.4,swept
JU2879,Day 4,24.4,swept
JU2879,Day 5,4.2,swept
JU310,Day 1,38.2,swept
JU310,Day 2,114,swept
JU310,Day 3,99.8,swept
JU310,Day 4,27.8,swept
JU310,Day 5,3.4,swept
JU311,Day 1,54,swept
JU311,Day 2,171.4,swept
JU311,Day 3,61,swept
JU311,Day 4,6.4,swept
JU311,Day 5,1.4,swept
JU3226,Day 1,9.75,divergent
JU3226,Day 2,46.5,divergent
JU3226,Day 3,64.75,divergent
JU3226,Day 4,38,divergent
JU3226,Day 5,31.5,divergent
JU323,Day 1,30.4,swept
JU323,Day 2,140.2,swept
JU323,Day 3,102,swept
JU323,Day 4,13,swept
JU323,Day 5,2.4,swept
JU346,Day 1,45.6,swept
JU346,Day 2,153.4,swept
JU346,Day 3,87.8,swept
JU346,Day 4,10.8,swept
JU346,Day 5,1.4,swept
JU360,Day 1,43,swept
JU360,Day 2,128.8,swept
JU360,Day 3,73.8,swept
JU360,Day 4,2.2,swept
JU360,Day 5,0.4,swept
JU367,Day 1,34,swept
JU367,Day 2,82.2,swept
JU367,Day 3,39.2,swept
JU367,Day 4,14.6,swept
JU367,Day 5,8.8,swept
JU393,Day 1,39.2,swept
JU393,Day 2,53.8,swept
JU393,Day 3,59,swept
JU393,Day 4,42.4,swept
JU393,Day 5,28.6,swept
JU394,Day 1,37.6,swept
JU394,Day 2,121.8,swept
JU394,Day 3,91,swept
JU394,Day 4,23.4,swept
JU394,Day 5,13,swept
JU397,Day 1,48.2,swept
JU397,Day 2,153.6,swept
JU397,Day 3,68,swept
JU397,Day 4,2.6,swept
JU397,Day 5,3.8,swept
JU406,Day 1,20.2,swept
JU406,Day 2,102.8,swept
JU406,Day 3,67.8,swept
JU406,Day 4,20,swept
JU406,Day 5,9.6,swept
JU440,Day 1,18.4,swept
JU440,Day 2,92.4,swept
JU440,Day 3,91.8,swept
JU440,Day 4,51.4,swept
JU440,Day 5,29.4,swept
JU561,Day 1,32.6,swept
JU561,Day 2,139.4,swept
JU561,Day 3,52.4,swept
JU561,Day 4,8.6,swept
JU561,Day 5,0.6,swept
JU642,Day 1,39.75,swept
JU642,Day 2,130,swept
JU642,Day 3,51,swept
JU642,Day 4,1.5,swept
JU642,Day 5,0.5,swept
JU751,Day 1,8.25,swept
JU751,Day 2,75.5,swept
JU751,Day 3,48.75,swept
JU751,Day 4,11,swept
JU751,Day 5,1.25,swept
JU775,Day 1,53.75,swept
JU775,Day 2,133.25,swept
JU775,Day 3,44.25,swept
JU775,Day 4,3.25,swept
JU775,Day 5,0.5,swept
JU830,Day 1,17.8,swept
JU830,Day 2,89.2,swept
JU830,Day 3,67,swept
JU830,Day 4,29.4,swept
JU830,Day 5,0.6,swept
JU847,Day 1,20,swept
JU847,Day 2,140.25,swept
JU847,Day 3,33.5,swept
JU847,Day 4,4.25,swept
JU847,Day 5,1.75,swept
KR314,Day 1,41.25,swept
KR314,Day 2,140.75,swept
KR314,Day 3,83.75,swept
KR314,Day 4,26,swept
KR314,Day 5,16,swept
MY1,Day 1,51,swept
MY1,Day 2,121.2,swept
MY1,Day 3,79.2,swept
MY1,Day 4,30,swept
MY1,Day 5,12.4,swept
MY16,Day 1,45.2,divergent
MY16,Day 2,126.4,divergent
MY16,Day 3,100.4,divergent
MY16,Day 4,14.4,divergent
MY16,Day 5,0.8,divergent
MY18,Day 1,55.4,swept
MY18,Day 2,148.4,swept
MY18,Day 3,63.2,swept
MY18,Day 4,7.6,swept
MY18,Day 5,4,swept
MY23,Day 1,45,divergent
MY23,Day 2,113,divergent
MY23,Day 3,63.75,divergent
MY23,Day 4,31.5,divergent
MY23,Day 5,11,divergent
N2,Day 1,27.5,swept
N2,Day 2,94.25,swept
N2,Day 3,127,swept
N2,Day 4,50,swept
N2,Day 5,9,swept
NIC166,Day 1,34.6,swept
NIC166,Day 2,133.8,swept
NIC166,Day 3,68.6,swept
NIC166,Day 4,8.6,swept
NIC166,Day 5,1.6,swept
NIC274,Day 1,10.2,swept
NIC274,Day 2,115.2,swept
NIC274,Day 3,94.4,swept
NIC274,Day 4,27.4,swept
NIC274,Day 5,0.4,swept
NIC276,Day 1,14,swept
NIC276,Day 2,110.4,swept
NIC276,Day 3,70.8,swept
NIC276,Day 4,12.8,swept
NIC276,Day 5,0.6,swept
NIC277,Day 1,27.6,swept
NIC277,Day 2,99.6,swept
NIC277,Day 3,97,swept
NIC277,Day 4,26.8,swept
NIC277,Day 5,1.8,swept
PS2025,Day 1,36.8,swept
PS2025,Day 2,124.2,swept
PS2025,Day 3,54,swept
PS2025,Day 4,17.4,swept
PS2025,Day 5,7.4,swept
PX179,Day 1,57.2,swept
PX179,Day 2,139.4,swept
PX179,Day 3,63.8,swept
PX179,Day 4,8.4,swept
PX179,Day 5,4.4,swept
QG536,Day 1,31,swept
QG536,Day 2,102.25,swept
QG536,Day 3,113.75,swept
QG536,Day 4,18.25,swept
QG536,Day 5,8.25,swept
QG556,Day 1,44,swept
QG556,Day 2,114,swept
QG556,Day 3,57.75,swept
QG556,Day 4,12,swept
QG556,Day 5,1.25,swept
QX1212,Day 1,55,swept
QX1212,Day 2,155,swept
QX1212,Day 3,72,swept
QX1212,Day 4,6.5,swept
QX1212,Day 5,0.5,swept
QX1233,Day 1,30,swept
QX1233,Day 2,134,swept
QX1233,Day 3,70.5,swept
QX1233,Day 4,7.5,swept
QX1233,Day 5,0.75,swept
QX1791,Day 1,34.6,divergent
QX1791,Day 2,97,divergent
QX1791,Day 3,82,divergent
QX1791,Day 4,17.8,divergent
QX1791,Day 5,3.8,divergent
QX1792,Day 1,51.6,swept
QX1792,Day 2,113.4,swept
QX1792,Day 3,19.8,swept
QX1792,Day 4,5.2,swept
QX1792,Day 5,6.4,swept
QX1793,Day 1,41.4,divergent
QX1793,Day 2,136.6,divergent
QX1793,Day 3,32,divergent
QX1793,Day 4,3.6,divergent
QX1793,Day 5,3,divergent
QX1794,Day 1,32.3333333333333,divergent
QX1794,Day 2,143.333333333333,divergent
QX1794,Day 3,37.6666666666667,divergent
QX1794,Day 4,1,divergent
QX1794,Day 5,0,divergent
RC301,Day 1,23,swept
RC301,Day 2,80,swept
RC301,Day 3,50,swept
RC301,Day 4,14,swept
RC301,Day 5,6.6,swept
WN2002,Day 1,0.6,swept
WN2002,Day 2,88,swept
WN2002,Day 3,35,swept
WN2002,Day 4,22,swept
WN2002,Day 5,3.6,swept
XZ1513,Day 1,19.2,divergent
XZ1513,Day 2,80,divergent
XZ1513,Day 3,27.8,divergent
XZ1513,Day 4,3.6,divergent
XZ1513,Day 5,0.4,divergent
XZ1514,Day 1,0,divergent
XZ1514,Day 2,52.2,divergent
XZ1514,Day 3,97.8,divergent
XZ1514,Day 4,49.2,divergent
XZ1514,Day 5,10.8,divergent
XZ1515,Day 1,30.4,swept
XZ1515,Day 2,57,swept
XZ1515,Day 3,35,swept
XZ1515,Day 4,10,swept
XZ1515,Day 5,3,swept
XZ1516,Day 1,0.6,divergent
XZ1516,Day 2,62.6,divergent
XZ1516,Day 3,110,divergent
XZ1516,Day 4,69.4,divergent
XZ1516,Day 5,11.8,divergent
XZ2019,Day 1,34.4,divergent
XZ2019,Day 2,105.6,divergent
XZ2019,Day 3,55.8,divergent
XZ2019,Day 4,31.8,divergent
XZ2019,Day 5,9.6,divergent
